epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9157,1.18885,2.03933,1.34831,0.56863,0.58557,0.54572,0.39465,0.86186,0.9408,1.01643,0.0003875,0.0003875,0.0003875
2,121.587,0.80541,0.56824,1.02626,0.74535,0.755,0.77876,0.57425,0.78038,0.66029,0.98516,0.000748519,0.000748519,0.000748519
3,154.163,0.76562,0.49382,0.99166,0.82083,0.75055,0.79467,0.59342,0.69585,0.42646,0.94484,0.00106994,0.00106994,0.00106994
4,193.12,0.75394,0.48091,0.98545,0.89866,0.83418,0.88224,0.62186,0.76206,0.44254,0.98283,0.00106437,0.00106437,0.00106437
5,229.007,0.71843,0.43347,0.96201,0.85441,0.80608,0.8549,0.64576,0.67447,0.37518,0.92864,0.0010025,0.0010025,0.0010025
6,266.859,0.70423,0.42315,0.95731,0.91875,0.88702,0.90661,0.68093,0.66233,0.31956,0.92271,0.000940625,0.000940625,0.000940625
7,310.899,0.68116,0.40212,0.9467,0.9125,0.89618,0.90201,0.68138,0.66039,0.32108,0.91861,0.00087875,0.00087875,0.00087875
8,350.564,0.67581,0.38101,0.94128,0.91873,0.87648,0.88987,0.6726,0.61716,0.30315,0.90551,0.000816875,0.000816875,0.000816875
9,396.452,0.65302,0.36946,0.93299,0.89373,0.90315,0.90971,0.68958,0.608,0.28734,0.89883,0.000755,0.000755,0.000755
10,436.952,0.65265,0.37531,0.93378,0.91063,0.90505,0.91537,0.69197,0.6408,0.29035,0.91465,0.000693125,0.000693125,0.000693125
11,460.827,0.60982,0.32547,0.92182,0.90236,0.89368,0.90138,0.70284,0.61132,0.28399,0.89999,0.00063125,0.00063125,0.00063125
12,472.57,0.61377,0.32444,0.92166,0.89896,0.87642,0.90644,0.68884,0.62073,0.29369,0.90337,0.000569375,0.000569375,0.000569375
13,484.249,0.60362,0.31404,0.92565,0.89894,0.89948,0.91736,0.7093,0.60439,0.27412,0.89714,0.0005075,0.0005075,0.0005075
14,496.056,0.59189,0.30021,0.91806,0.93094,0.91998,0.93082,0.71304,0.5822,0.26617,0.88742,0.000445625,0.000445625,0.000445625
15,507.762,0.58831,0.30458,0.91105,0.91079,0.89334,0.90877,0.70488,0.55405,0.25313,0.88063,0.00038375,0.00038375,0.00038375
16,519.468,0.57645,0.28389,0.90265,0.9299,0.90992,0.92687,0.72839,0.54092,0.2401,0.87194,0.000321875,0.000321875,0.000321875
17,531.226,0.55135,0.27221,0.89886,0.9101,0.90846,0.92327,0.72753,0.56856,0.24344,0.87711,0.00026,0.00026,0.00026
18,542.915,0.54185,0.26747,0.89272,0.91464,0.91587,0.92223,0.73281,0.53805,0.23477,0.87509,0.000198125,0.000198125,0.000198125
19,554.617,0.53178,0.26367,0.89095,0.94796,0.92764,0.93763,0.74244,0.53875,0.22668,0.87109,0.00013625,0.00013625,0.00013625
20,566.375,0.52348,0.25183,0.88639,0.94591,0.92572,0.93716,0.74909,0.51757,0.22087,0.86609,7.4375e-05,7.4375e-05,7.4375e-05
